county_name,state_fips,county_fips,population,land_area_sq_mi,centroid,county_seat
Aitkin County,27,27001,15697,1821.317,"[46.570797, -93.52998]",
Anoka County,27,27003,363887,421.973,"[45.195033, -93.269315]",
Becker County,27,27005,35183,1315.037,"[46.846984, -95.781108]",
Beltrami County,27,27007,46228,2504.643,"[47.585267, -94.86333]",
Benton County,27,27009,41379,408.303,"[45.634664, -94.10435]",
Big Stone County,27,27011,5166,499.129,"[45.395362, -96.446286]",
Blue Earth County,27,27013,69112,747.836,"[44.133623, -93.994417]",
Brown County,27,27015,25912,611.109,"[44.285144, -94.59176]",
Carlton County,27,27017,36207,861.191,"[46.644206, -92.532283]",
Carver County,27,27019,106922,353.879,"[44.836919, -93.679267]",
Cass County,27,27021,30066,2021.462,"[46.817725, -94.417932]",
Chippewa County,27,27023,12598,581.225,"[44.961846, -95.618298]",
Chisago County,27,27025,56621,414.901,"[45.452093, -92.924032]",
Clay County,27,27027,65318,1045.176,"[46.855003, -96.673903]",
Clearwater County,27,27029,8524,999.003,"[47.559971, -95.388788]",
Cook County,27,27031,5600,1452.576,"[47.790102, -90.339448]",
Cottonwood County,27,27033,11517,639.973,"[43.938574, -95.120928]",
Crow Wing County,27,27035,66123,998.41,"[46.430863, -94.162322]",
Dakota County,27,27037,439882,562.557,"[44.763244, -93.154642]",
Dodge County,27,27039,20867,439.396,"[44.030082, -92.805954]",
Douglas County,27,27041,39006,636.878,"[45.907933, -95.389465]",
Faribault County,27,27043,13921,712.479,"[43.682751, -93.954993]",
Fillmore County,27,27045,21228,861.333,"[43.696271, -92.081754]",
Freeborn County,27,27047,30895,707.245,"[43.662772, -93.361666]",
Goodhue County,27,27049,47582,756.713,"[44.446353, -92.66657]",
Grant County,27,27051,6074,547.8,"[45.948536, -95.931474]",
Hennepin County,27,27053,1281565,554.019,"[44.976697, -93.361233]",
Houston County,27,27055,18843,552.115,"[43.720423, -91.438661]",
Hubbard County,27,27057,21344,926.021,"[47.058441, -94.933356]",
Isanti County,27,27059,41135,435.781,"[45.542718, -93.259775]",
Itasca County,27,27061,45014,2667.516,"[47.315009, -93.521135]",
Jackson County,27,27063,9989,702.972,"[43.66536, -95.109576]",
Kanabec County,27,27065,16032,521.61,"[45.885216, -93.297994]",
Kandiyohi County,27,27067,43732,797.368,"[45.154628, -95.017492]",
Kittson County,27,27069,4207,1099.0,"[48.729252, -96.77663]",
Koochiching County,27,27071,12062,3104.706,"[48.510977, -93.489801]",
Lac qui Parle County,27,27073,6719,765.021,"[44.982404, -96.130868]",
Lake County,27,27075,10905,2109.108,"[47.186485, -91.560751]",
Lake of the Woods County,27,27077,3763,1297.653,"[48.769541, -94.744612]",
Le Sueur County,27,27079,28674,448.776,"[44.39681, -93.716142]",
Lincoln County,27,27081,5640,536.786,"[44.373948, -96.252306]",
Lyon County,27,27083,25269,714.411,"[44.428528, -95.796682]",
McLeod County,27,27085,36771,491.51,"[44.85967, -94.264775]",
Mahnomen County,27,27087,5411,557.867,"[47.300158, -95.837513]",
Marshall County,27,27089,9040,1775.06,"[48.306927, -96.530084]",
Martin County,27,27091,20025,712.331,"[43.665559, -94.50935]",
Meeker County,27,27093,23400,607.968,"[45.136287, -94.481246]",
Mille Lacs County,27,27095,26459,572.306,"[45.790781, -93.623033]",
Morrison County,27,27097,34010,1125.094,"[45.984633, -94.329081]",
Mower County,27,27099,40029,711.273,"[43.665401, -92.901937]",
Murray County,27,27101,8179,704.667,"[43.982392, -95.740801]",
Nicollet County,27,27103,34454,448.504,"[44.265352, -94.058378]",
Nobles County,27,27105,22290,715.117,"[43.635008, -95.663888]",
Norman County,27,27107,6441,872.789,"[47.308519, -96.484363]",
Olmsted County,27,27109,162847,653.509,"[44.024514, -92.476238]",
Otter Tail County,27,27111,60081,1971.635,"[46.408729, -95.789225]",
Pennington County,27,27113,13992,616.52,"[48.102851, -96.147968]",
Pine County,27,27115,28876,1411.337,"[46.030418, -92.894181]",
Pipestone County,27,27117,9424,465.053,"[43.980739, -96.268335]",
Polk County,27,27119,31192,1970.999,"[47.783873, -96.562798]",
Pope County,27,27121,11308,674.559,"[45.630228, -95.439435]",
Ramsey County,27,27123,552352,152.257,"[44.99291, -93.10565]",
Red Lake County,27,27125,3935,432.407,"[47.875652, -96.132058]",
Redwood County,27,27127,15425,878.573,"[44.440045, -95.189914]",
Renville County,27,27129,14723,982.896,"[44.721227, -94.942285]",
Rice County,27,27131,67097,495.845,"[44.372673, -93.26165]",
Rock County,27,27133,9704,482.459,"[43.648084, -96.237081]",
Roseau County,27,27135,15331,1671.739,"[48.82443, -95.646717]",
St. Louis County,27,27137,200231,6248.121,"[47.078425, -92.307366]",
Scott County,27,27139,150928,356.11,"[44.714553, -93.466447]",
Sherburne County,27,27141,97183,432.948,"[45.402446, -93.718866]",
Sibley County,27,27143,14836,588.809,"[44.58252, -94.165538]",
Stearns County,27,27145,158292,1342.882,"[45.559158, -94.355044]",
Steele County,27,27147,37406,429.548,"[44.06586, -93.214616]",
Stevens County,27,27149,9671,563.662,"[45.577955, -95.921798]",
Swift County,27,27151,9838,742.016,"[45.272889, -95.637582]",
Todd County,27,27153,25262,945.098,"[46.065805, -94.889142]",
Traverse County,27,27155,3360,573.872,"[45.751962, -96.547312]",
Wabasha County,27,27157,21387,522.933,"[44.298281, -92.21876]",
Wadena County,27,27159,14065,536.347,"[46.52738, -95.044753]",
Waseca County,27,27161,18968,423.361,"[44.062525, -93.551329]",
Washington County,27,27163,267568,384.753,"[44.985726, -92.921431]",
Watonwan County,27,27165,11253,434.947,"[43.992768, -94.58359]",
Wilkin County,27,27167,6506,751.038,"[46.316429, -96.525623]",
Winona County,27,27169,49671,626.191,"[44.023673, -91.718459]",
Wright County,27,27171,141337,661.144,"[45.199091, -93.818147]",
Yellow Medicine County,27,27173,9528,759.101,"[44.737396, -95.830115]",
